pen	body_weight_at_day_00_g	body_weight_at_day_07_g	body_weight_at_day_21_g	body_weight_at_day_35_g	average_daily_gain_g_day_00_07	average_daily_feed_intake_g_day_00_07	feed_to_conversion_ratio_g_g_day_00_07	fcr_not_corrected_day_00_07	mortality_percent_day_00_07	mortality_percent_without_culleds_day_00_07	european_performance_efficiency_factor_day_00_07	average_daily_gain_g_day_07_21	average_daily_feed_intake_g_day_07_21	feed_to_conversion_ratio_g_g_day_07_21	fcr_not_corrected_day_07_21	mortality_percent_day_07_21	mortality_percent_without_culleds_day_07_21	european_performance_efficiency_factor_day_07_21	average_daily_gain_g_day_21_35	average_daily_feed_intake_g_day_21_35	feed_to_conversion_ratio_g_g_day_21_35	fcr_not_corrected_day_21_35	mortality_percent_day_21_35	mortality_percent_without_culleds_day_21_35	european_performance_efficiency_factor_day_21_35	average_daily_gain_g_day_00_35	average_daily_feed_intake_g_day_00_35	feed_to_conversion_ratio_g_g_day_00_35	fcr_not_corrected_day_00_35	mortality_percent_day_00_35	mortality_percent_without_culleds_day_00_35	european_performance_efficiency_factor_day_00_35	litter_at_day_07_p_h	litter_at_day_21_p_h	litter_at_day_35_p_h	carcass_body_weight_mean_g	carcass_weight_mean_g	breast_weight_mean_g	legs_weight_mean_g	abdominal_fat_weight_mean_g	carcass_yield_mean_percent	breast_yield_mean_percent	legs_yield_mean_percent	abdominal_fat_yield_mean_percent	tbars_mean_mg_mda_kg	cortisol_at_day_07_mean_feather_pg_mg	cortisol_at_day_21_mean_feather_pg_mg	cortisol_at_day_35_mean_feather_pg_mg	crp_at_day_07_mean_pg_ml	crp_at_day_21_mean_pg_ml	crp_at_day_35_mean_pg_ml	hpt_at_day_07_mean_ng_ml	hpt_at_day_21_mean_ng_ml	hpt_at_day_35_mean_ng_ml	lps_at_day_07_mean_ng_l	lps_at_day_21_mean_ng_l	lps_at_day_35_mean_ng_l
CC24	43.56	192.43	825.86	1845.83	21.27	21.32	1.002	1.023	5	0	201.55	45.25	60.47	1.336	1.336	0	0	338.55	72.86	110.93	1.523	1.523	0	0	478.49	51.49	71.73	1.393	1.396	5	0	351.19	5.63	7.66	8.49	2000	1560.77	361.3	417.25	26.47	78.15	18.03	20.89	1.3	0.04	7.495	13.0033	14.37	2.14013	1.72058	1.20799	0.69429	0.69734	0.83627	6.5471	3.17471	6.53587
CC23	46.1	199.41	973.21	2156.82	21.9	20.98	0.958	0.986	7.5	0	211.54	55.27	73.15	1.324	1.324	0	0	417.61	84.54	140.54	1.662	1.692	3.57	3.57	490.41	60.31	87.65	1.453	1.47	10	2.5	373.44	6.95	7.78	8.38	2050	1534.57	340.3	424.17	21.07	74.92	16.47	20.84	1.02	0.0467	9.355	7.7417	24.15	1.93787	2.03294	1.1071	0.95102	0.87327	0.75228	6.38606	3.19618	6.65611
CC22	41.52	191.89	837.1	1744.23	21.48	21.46	0.999	0.999	0	0	215.04	46.09	66.05	1.433	1.433	0	0	321.57	64.8	102.93	1.588	1.588	0	0	407.9	48.65	70.94	1.458	1.458	0	0	333.61	6.61	8.23	8.52	1870	1408.44	294.6	401.9	27.2	75.33	15.77	21.48	1.45	0.025	7.2027	5.545	18.1033	1.59924	1.91981	1.05357	0.8516	0.75483	0.59161	6.43289	3.31043	6.92708
CC21	45.56	207.35	896.43	1919.57	23.11	23.1	0.999	1.03	5.13	0	219.44	49.22	65.19	1.324	1.324	0	0	371.61	73.08	121.03	1.656	1.656	0	0	441.29	53.54	77.68	1.451	1.456	5.13	0	350.11	5.79	7.9	8.36	1991.67	1492.15	315.95	432.82	24.4	74.94	15.76	21.8	1.17	0.04	17.2567	3.485	20.9517	1.67329	2.02729	1.05357	0.81246	0.76564	0.59161	6.51637	2.97321	6.87313
CC20	48.47	194.72	925	1904	20.89	21	1.005	1.012	2.5	0	202.7	52.16	70.4	1.35	1.35	0	0	386.48	69.93	115.38	1.65	1.65	0	0	423.83	53.02	77.21	1.456	1.458	2.5	0	354.9	5.74	8.16	8.47	1933.33	1495.9	354.57	396.32	30.47	77.4	18.31	20.49	1.59	0.05	6.1817	6.2567	6.45	1.8605	3.0466	1.08614	1.16471	0.79085	1.06521	6.23903	4.43858	6.52087
CC19	43.86	186.25	830	1788	20.34	20.5	1.008	1.012	2.5	0	196.81	45.98	61.57	1.339	1.339	0	0	343.39	68.43	107.46	1.57	1.57	0	0	435.75	49.83	70.78	1.42	1.421	2.5	0	342.05	5.78	7.88	8.54	1925	1483.48	305.13	437.43	25.3	77.04	15.83	22.72	1.32	0.0667	9.398	6.3683	3.6117	2.35008	2.84734	1.05357	0.67785	0.59161	0.59161	6.35359	4.78587	6.22558
CC18	43.99	197.16	821.67	1732	21.88	21.1	0.964	0.964	0	0	226.97	44.61	63.07	1.414	1.428	2.7	2.7	306.98	65.02	107.18	1.648	1.648	0	0	394.49	48.23	71.11	1.474	1.48	2.5	2.5	318.93	6.02	7.63	8.43	1783.33	1326.08	279.18	386.82	18.12	74.5	15.65	21.68	0.99	0.05	12.48	9.2383	9.82	1.63791	3.22148	1.09719	0.85124	0.59161	0.76788	6.47188	4.38059	6.29997
CC17	47.42	206.11	991.67	2038	22.67	23.82	1.051	1.051	0	0	215.72	56.11	73.65	1.313	1.313	0	0	427.49	74.74	126.12	1.687	1.687	0	0	442.9	56.87	83.18	1.463	1.463	0	0	388.87	5.89	6.61	8.49	2116.67	1635.57	384.53	448.2	29.82	77.42	18.08	21.28	1.38	0.0467	6.605	14.0517	22.08	2.05594	3.06303	1.05357	1.10948	0.69188	0.59161	6.37022	4.5252	6.08955
CC16	42.48	182.57	769.35	1565.38	20.01	19.8	0.989	0.989	0	0	202.29	41.91	66.12	1.578	1.578	0	0	265.68	56.86	93.88	1.651	1.651	0	0	344.37	43.51	67.17	1.544	1.544	0	0	281.88	5.95	7.32	8.53	1760	1326.16	316.98	375.56	21.4	75.52	17.69	21.3	1.17	0.0533	7.1433	11.2267	9.8	1.78485	3.16407	1.05357	0.67174	0.59161	0.59161	6.32234	3.33807	5.98981
CC15	43.26	196.35	983.87	2157.69	21.87	21.23	0.971	0.971	0	0	225.3	56.25	74.12	1.318	1.318	0	0	426.92	83.84	133.94	1.597	1.597	0	0	524.86	60.41	86.1	1.425	1.425	0	0	423.88	5.92	8.45	8.37	2341.67	1805.55	424.43	502.63	37.62	77.21	18.11	21.52	1.59	0.04	7.1267	13.35	27.0117	2.25648	2.15731	1.10831	0.84348	0.62424	0.59161	5.66775	3.79958	5.95553
CC14	45.89	195.95	919.35	1950	21.44	21.15	0.987	0.987	0	0	217.24	51.67	74.3	1.438	1.438	0	0	359.34	73.62	122.32	1.662	1.79	6.45	6.45	414.47	54.4	81.43	1.497	1.549	5	5	345.3	5.59	6.77	8.27	2020	1536.68	356.7	410.56	30.56	75.91	17.53	20.32	1.49	0.0367	6.635	15.1433	13.3317	2.26983	3.07859	1.14268	0.59161	0.59161	0.59161	5.11668	3.47784	6.33193
CC13	45.18	200.95	956.45	2046.15	22.25	21.9	0.984	0.984	0	0	226.11	53.96	73.2	1.357	1.357	0	0	397.82	77.84	127.17	1.634	1.634	0	0	476.39	57.17	83.21	1.456	1.456	0	0	392.78	5.89	7.93	8.46	2200	1686.72	421.22	460.45	33.65	76.76	19.11	20.9	1.53	0.07	8.645	17.7983	14.48	2.1449	3.34535	1.05357	1.19369	0.59161	0.59161	4.96198	3.51755	6.03611
CC12	44.65	199.43	989.66	2214.58	22.11	21.17	0.957	0.963	2.56	0	225.05	56.44	74.79	1.325	1.325	0	0	426	87.49	138.68	1.585	1.585	0	0	552	62	88.29	1.424	1.425	2.56	0	424.21	5.86	7.8	8.45	2383.33	1827.58	418.18	514.5	32.65	76.67	17.4	21.59	1.38	0.05	8.3633	14.8667	12.7917	2.19107	2.55618	1.1071	0.69508	0.95414	0.59161	5.39408	3.08045	5.87362
CC11	44.26	204.71	982.76	2068.75	22.92	22.35	0.975	0.997	5	0	223.32	55.57	74.13	1.334	1.334	0	0	416.62	77.57	127.88	1.649	1.649	0	0	470.54	57.84	83.63	1.446	1.449	5	0	380.05	6.02	7.43	8.28	2141.67	1627.57	390.25	430.23	33.05	75.96	18.15	20.16	1.54	0.05	8.0083	11.6667	15.8917	2.26681	2.23539	1.27399	0.81704	0.76518	0.8706	4.97589	3.09614	3.94681
CC10	43.66	186.76	795.16	1606	20.44	21.21	1.038	1.038	0	0	197.01	43.46	58.89	1.355	1.355	0	0	320.69	57.92	94.79	1.637	1.702	3.23	3.23	342.47	44.64	64.57	1.446	1.472	2.5	2.5	300.9	6.44	7.72	8.44	1783.33	1301.6	283.78	362.6	22.03	72.46	15.58	20.05	1.22	0.04	8.435	8.9183	7.01	2.20054	3.14664	1.35798	0.59161	0.59161	0.74221	4.8098	3.31929	3.12274
CC09	46.85	190.28	790	1798	20.49	21.36	1.042	1.051	2.5	0	191.69	42.84	60.37	1.409	1.409	0	0	303.95	72	109.37	1.519	1.519	0	0	473.97	50.03	71.43	1.428	1.429	2.5	0	341.68	6.04	7.72	8.43	2000	1504.08	321.2	438.18	23.76	75.23	16.01	21.85	1.18	0.07	11.49	8.235	8.8467	2.09098	3.0293	1.20578	0.62424	0.62738	0.73706	4.85085	2.97321	3.20651
CC08	45.14	191.94	805	1689.58	20.97	21.59	1.03	1.037	2.5	0	198.61	43.79	76.4	1.745	1.745	0	0	251	63.18	105.9	1.676	1.728	3.33	3.33	364.42	46.98	76.62	1.631	1.656	5	2.5	273.69	6.19	7.09	7.13	1950	1469.2	307.62	423.68	22.75	75.18	15.62	21.76	1.14	0.06	9.1283	9.7717	8.665	1.79844	2.13506	1.20397	0.59161	0.69813	0.6383	4.46525	2.97321	3.71475
CC07	45.12	193.11	858.06	1744.23	21.14	20.69	0.979	0.979	0	0	215.98	47.5	78.62	1.655	1.655	0	0	286.94	63.3	106.15	1.677	1.677	0	0	377.44	48.55	77.21	1.59	1.59	0	0	305.23	6.1	7.49	8.06	1825	1334.45	286.23	386.73	12.48	73.16	15.62	21.2	0.68	0.0367	7.925	7.535	7.6733	2.29432	2.26074	1.05357	0.59161	0.59161	0.73114	4.69586	3.51339	3.3223
CC06	43.87	193.11	833.87	1790.38	21.32	21.68	1.017	1.017	0	0	209.61	45.77	65.53	1.432	1.432	0	0	319.64	68.32	107.94	1.58	1.58	0	0	432.44	49.9	72.89	1.461	1.461	0	0	341.61	5.72	7.59	8.34	1900	1444.55	328.97	400.12	24.07	75.93	17.24	21.07	1.27	0.06	4.756	7.63	8.175	2.13332	1.64687	1.29636	0.59161	0.59161	0.62211	4.65479	4.07518	3.08892
CC05	43.82	197.57	977.59	2058.33	21.96	21.93	0.999	0.999	0	0	219.97	55.72	72.61	1.303	1.323	5.41	5.41	404.41	77.2	126.31	1.636	1.636	0	0	471.8	57.56	82.36	1.431	1.44	5	5	382.14	6.34	6.66	8.43	2158.33	1681.5	415.23	442.52	33.6	77.94	19.22	20.58	1.56	0.05	7.805	11.8033	9.9617	2.17526	1.27047	1.1022	0.59161	0.79538	0.61203	4.0573	6.84034	3.06882
CC04	42.29	194.14	827.59	1765.91	21.69	21.61	0.996	1.005	2.56	0	212.22	45.25	62.96	1.392	1.392	0	0	325.15	67.02	102.72	1.533	1.672	6.9	6.9	407.16	49.25	69.41	1.41	1.467	7.69	5.13	322.51	5.69	8.32	8.65	1933.33	1474.95	336.62	397.45	31.62	76.33	17.43	20.57	1.61	0.0367	6.355	8.52	15.0417	2.17452	1.43935	1.22476	0.59161	0.61884	0.8111	3.99388	6.50595	2.97321
CC03	44.77	190.97	971.67	2178.57	20.89	20.56	0.985	0.985	0	0	212.13	55.76	82.07	1.472	1.472	0	0	378.9	86.21	142.66	1.655	1.776	6.67	6.67	486.2	60.97	92.4	1.516	1.568	5.13	5.13	381.64	5.88	6.33	8.17	2333.33	1838.2	452.58	488.88	38.63	78.87	19.21	21.09	1.65	0.05	5.9017	11.8383	32.0567	2.13926	1.42981	1.13128	0.59161	0.66025	0.99976	4.26413	6.54846	2.97321
CC02	42.57	198.47	970	2054.35	22.27	21.69	0.974	0.982	2.5	0	222.97	55.11	91.24	1.656	1.656	0	0	332.88	77.45	126.07	1.628	1.628	0	0	475.85	57.48	90.51	1.575	1.576	2.5	0	355.9	5.73	7.51	8.3	2225	1723.12	421.62	460.53	30.02	77.49	18.92	20.75	1.34	0.08	6.2167	7.7833	18.325	2.01953	1.70198	1.39064	0.81479	0.69252	0.73377	4.14262	6.47821	3.07721
CC01	44.62	205.42	1021.67	2376.09	22.97	22.12	0.963	0.963	0	0	238.58	58.3	84.12	1.443	1.443	0	0	404.11	96.74	149.2	1.542	1.542	0	0	627.31	66.61	96.74	1.452	1.452	0	0	458.71	5.82	8.26	8.45	2616.67	1987.23	456.57	553.25	37.95	75.94	17.45	21.1	1.46	0.0133	7.4683	10.2567	33.7783	2.34189	1.84757	1.15785	0.70408	0.59161	0.73335	4.14739	6.20267	2.97321
CB24	46	178.21	974.24	2312.96	18.89	21.58	1.143	1.151	0	0	161.13	56.86	78.15	1.374	1.374	0	0	413.71	95.62	161.12	1.685	1.685	0	0	567.5	64.77	98.65	1.523	1.524	0	0	414.61	7.23	7.52	8.15	2724.17	2107.02	552.35	540.47	40.32	77.3	20.25	19.86	1.48	0.12	14.3117	19.3883	31.2333	1.28788	1.05357	1.05357	0.81562	0.84695	0.83272	6.15329	4.7107	5.67076
CB23	45.78	172.5	902.94	2071.43	18.1	19.64	1.085	1.085	0	0	166.84	52.17	72.86	1.396	1.396	0	0	373.62	83.46	141.74	1.698	1.698	0	0	491.49	57.88	88.59	1.531	1.531	0	0	378.11	5.71	8.13	7.4	2417.5	1841.1	493.65	469.08	52.93	76.11	20.4	19.38	2.18	0.14	11.4	18.0133	14.5217	1.35296	1.05357	1.05357	1.62499	1.09201	0.7617	5.99844	5.19906	5.8699
CB22	38.82	168.42	848.44	1903.85	18.51	20.46	1.105	1.137	2.5	0	159.13	48.57	60.51	1.246	1.246	0	0	389.89	75.39	133.77	1.774	1.774	0	0	424.83	53.29	79.99	1.501	1.505	2.5	0	337.23	7.57	8.34	7.01	2281.67	1756.12	464.78	462.1	32.15	76.98	20.38	20.24	1.4	0.1267	10.6267	8.4017	7.9133	1.55073	1.05357	1.05357	0.73395	0.73508	0.96866	6.48054	5.04787	5.81103
CB21	38.72	170	833.33	1870.37	18.76	19.68	1.049	1.049	0	0	178.75	47.38	63.71	1.345	1.359	2.5	2.5	343.58	74.07	123.27	1.664	1.664	0	0	445.13	52.33	77.43	1.48	1.486	2.5	2.5	344.84	7.24	7.64	6.88	2204.17	1692	410.02	445.8	32.57	76.68	18.58	20.23	1.48	0.1	11.6333	11.4883	12.5933	1.69149	1.05357	1.05357	2.74999	0.70502	1.18029	6.44086	5.10942	5.73301
CB20	39.73	172.5	908.82	2135.71	18.97	19.75	1.041	1.041	0	0	182.15	52.59	70.98	1.35	1.35	0	0	389.7	87.64	148.38	1.693	1.693	0	0	517.58	59.89	90.26	1.507	1.507	0	0	397.32	8.36	8.16	8.44	2635	1983.8	479.08	551.6	34.63	75.28	18.19	20.93	1.31	0.1	10.77	16.625	12.9833	1.91704	1.05357	1.05357	1.37436	0.80028	0.76576	6.59185	4.8088	5.51441
CB19	38.79	175	903.13	2165.38	19.46	19.78	1.016	1.049	2.5	0	181.87	52.01	72.32	1.39	1.39	0	0	374.05	90.16	150.61	1.67	1.67	0	0	539.74	60.76	91.67	1.509	1.513	2.5	0	382.57	5.45	8.22	8.17	2595.83	1957.67	482.3	525.03	32.97	75.41	18.57	20.24	1.26	0.0833	12.4767	15.7983	18.72	2.24717	1.05357	1.05357	2.03562	0.70838	0.84648	6.63664	4.90425	5.49134
CB18	38.9	173.08	883.33	2038.89	19.17	19.76	1.031	1.065	2.5	0	181.29	50.73	69.96	1.379	1.379	0	0	367.9	82.54	139.81	1.694	1.694	0	0	487.29	57.14	86.37	1.511	1.516	2.5	0	368.61	5.55	7.72	8.25	2404.17	1824.17	422.12	498.35	28.23	75.73	17.41	20.8	1.16	0.1133	13.716	12.6383	10.5333	2.08979	1.05357	1.05357	1.29549	0.85455	0.98845	6.54804	4.69081	5.66813
CB17	45.75	181.25	969.7	2202	19.36	20.64	1.066	1.066	0	0	181.53	56.32	78.11	1.387	1.395	2.5	2.5	395.91	88.02	154.98	1.761	1.859	6.06	6.06	469.63	61.61	95.12	1.544	1.589	7.5	7.5	369.08	5.8	7.86	8.27	2532.5	1944.08	519.02	498.93	40.97	76.65	20.32	19.66	1.57	0.07	7.9567	14.5383	19.165	2.22956	1.05357	1.05357	0.88776	0.84446	0.69347	6.75364	4.65719	5.71667
CB16	44.97	185	957.35	2209.26	20	21.82	1.091	1.091	0	0	183.39	55.17	76.23	1.382	1.382	0	0	399.27	89.42	153.04	1.711	1.771	2.94	2.94	507.12	61.84	94.41	1.527	1.553	2.5	2.5	394.9	5.79	7.58	8.02	2622.5	1966.65	507.72	511.02	38.83	75.12	19.45	19.53	1.44	0.0833	12.0833	26.5733	18.3867	2.17236	1.05357	1.05357	1.81288	0.70597	0.89459	7.50979	4.61641	5.35182
