mag_id	mag_name
ERR4836928_bin_9	cmag_417
ERR4836929_bin_13	cmag_418
ERR4836929_bin_8	cmag_419
ERR4836930_bin_26	cmag_420
ERR4836932_bin_6	cmag_421
ERR4836934_bin_21	cmag_422
ERR4836934_bin_35	cmag_423
ERR4836935_bin_21	cmag_424
ERR4836935_bin_26	cmag_425
ERR4836936_bin_13	cmag_426
ERR4836936_bin_17	cmag_427
ERR4836937_bin_12	cmag_428
ERR4836937_bin_2	cmag_429
ERR4836937_bin_24	cmag_430
ERR4836937_bin_35	cmag_431
ERR4836937_bin_38	cmag_432
ERR4836937_bin_47	cmag_433
ERR4836937_bin_7	cmag_434
ERR4836937_bin_9	cmag_435
ERR4836938_bin_15	cmag_436
ERR4836938_bin_26	cmag_437
ERR4836938_bin_48	cmag_438
ERR4836939_bin_20	cmag_439
ERR4836939_bin_30	cmag_440
ERR4836939_bin_40	cmag_441
ERR4836940_bin_16	cmag_442
ERR4836940_bin_30	cmag_443
ERR4836940_bin_4	cmag_444
ERR4836941_bin_10	cmag_445
ERR4836941_bin_22	cmag_446
ERR4836941_bin_42	cmag_447
ERR4836942_bin_19	cmag_448
ERR4836942_bin_46	cmag_449
ERR4836942_bin_7	cmag_450
ERR4836944_bin_18	cmag_451
ERR4836946_bin_19	cmag_452
ERR4836946_bin_32	cmag_453
ERR4836947_bin_43	cmag_454
ERR4836947_bin_46	cmag_455
ERR4836947_bin_56	cmag_456
ERR4836948_bin_29	cmag_457
ERR4836948_bin_32	cmag_458
ERR4836948_bin_4	cmag_459
ERR4836948_bin_53	cmag_460
ERR4836949_bin_12	cmag_461
ERR4836949_bin_22	cmag_462
ERR4836949_bin_36	cmag_463
ERR4836950_bin_14	cmag_464
ERR4836950_bin_18	cmag_465
ERR4836950_bin_25	cmag_466
ERR4836950_bin_3	cmag_467
ERR4836950_bin_43	cmag_468
ERR4836951_bin_32	cmag_469
ERR4836953_bin_26	cmag_470
ERR4836953_bin_28	cmag_471
ERR4836954_bin_5	cmag_472
ERR4836956_bin_17	cmag_473
ERR4836956_bin_18	cmag_474
ERR4836956_bin_24	cmag_475
ERR4836956_bin_34	cmag_476
ERR4836957_bin_16	cmag_477
ERR4836957_bin_34	cmag_478
ERR4836957_bin_5	cmag_479
ERR4836957_bin_9	cmag_480
ERR4836958_bin_14	cmag_481
ERR4836958_bin_2	cmag_482
ERR4836958_bin_25	cmag_483
ERR4836958_bin_29	cmag_484
ERR4836958_bin_33	cmag_485
ERR4836958_bin_38	cmag_486
ERR4836958_bin_39	cmag_487
ERR4836959_bin_22	cmag_488
ERR4836959_bin_28	cmag_489
ERR4836959_bin_41	cmag_490
ERR4836959_bin_7	cmag_491
ERR4836960_bin_14	cmag_492
ERR4836960_bin_34	cmag_493
ERR4836960_bin_5	cmag_494
ERR4836961_bin_23	cmag_495
ERR4836961_bin_45	cmag_496
ERR4836961_bin_58	cmag_497
ERR4836961_bin_70	cmag_498
ERR4836961_bin_71	cmag_499
ERR4836961_bin_78	cmag_500
ERR4836962_bin_31	cmag_501
ERR4836962_bin_52	cmag_502
ERR4836962_bin_59	cmag_503
ERR4836962_bin_62	cmag_504
ERR4836963_bin_73	cmag_505
ERR4836963_bin_78	cmag_506
ERR4836963_bin_79	cmag_507
ERR4836964_bin_1	cmag_508
ERR4836964_bin_18	cmag_509
ERR4836964_bin_21	cmag_510
ERR4836964_bin_23	cmag_511
ERR4836964_bin_35	cmag_512
ERR4836964_bin_45	cmag_513
ERR4836964_bin_67	cmag_514
ERR4836965_bin_64	cmag_515
ERR4836965_bin_79	cmag_516
ERR4836965_bin_80	cmag_517
ERR4836965_bin_89	cmag_518
ERR4836965_bin_9	cmag_519
ERR4836966_bin_112	cmag_520
ERR4836966_bin_15	cmag_521
ERR4836966_bin_3	cmag_522
ERR4836966_bin_38	cmag_523
ERR4836966_bin_39	cmag_524
ERR4836966_bin_50	cmag_525
ERR4836966_bin_55	cmag_526
ERR4836966_bin_76	cmag_527
ERR4836966_bin_8	cmag_528
ERR4836966_bin_81	cmag_529
ERR4836966_bin_83	cmag_530
ERR4836966_bin_91	cmag_531
ERR4968556_bin_9	cmag_532
ERR4968559_bin_17	cmag_533
ERR4968560_bin_12	cmag_534
ERR4968564_bin_11	cmag_535
ERR4968564_bin_18	cmag_536
ERR4968564_bin_7	cmag_537
ERR4968565_bin_12	cmag_538
ERR4968565_bin_23	cmag_539
ERR4968565_bin_3	cmag_540
ERR4968566_bin_20	cmag_541
ERR4968567_bin_25	cmag_542
ERR4968569_bin_27	cmag_543
ERR4968570_bin_16	cmag_544
ERR4968570_bin_31	cmag_545
ERR4968571_bin_10	cmag_546
ERR4968574_bin_18	cmag_547
ERR4968574_bin_31	cmag_548
ERR4968575_bin_35	cmag_549
ERR4968576_bin_20	cmag_550
ERR4968576_bin_9	cmag_551
ERR4968577_bin_3	cmag_552
ERR4968577_bin_33	cmag_553
ERR4968579_bin_26	cmag_554
ERR4968579_bin_33	cmag_555
ERR4968580_bin_12	cmag_556
ERR4968580_bin_19	cmag_557
ERR4968581_bin_26	cmag_558
ERR4968582_bin_9	cmag_559
ERR4968584_bin_51	cmag_560
ERR4968585_bin_1	cmag_561
ERR4968585_bin_28	cmag_562
ERR4968585_bin_29	cmag_563
ERR4968586_bin_17	cmag_564
ERR4968586_bin_20	cmag_565
ERR4968586_bin_6	cmag_566
ERR4968586_bin_9	cmag_567
ERR4968587_bin_12	cmag_568
ERR4968587_bin_9	cmag_569
ERR4968588_bin_12	cmag_570
ERR4968590_bin_12	cmag_571
ERR4968590_bin_2	cmag_572
ERR4968590_bin_22	cmag_573
ERR4968590_bin_38	cmag_574
ERR4968590_bin_6	cmag_575
ERR4968592_bin_39	cmag_576
ERR4968592_bin_9	cmag_577
ERR4968593_bin_10	cmag_578
ERR4968593_bin_11	cmag_579
ERR4968593_bin_22	cmag_580
ERR4968593_bin_27	cmag_581
ERR4968593_bin_55	cmag_582
ERR4968594_bin_22	cmag_583
ERR4968594_bin_36	cmag_584
ERR4968595_bin_28	cmag_585
ERR4968595_bin_6	cmag_586
ERR4968596_bin_3	cmag_587
ERR4968597_bin_16	cmag_588
ERR4968597_bin_17	cmag_589
ERR4968597_bin_38	cmag_590
ERR4968597_bin_7	cmag_591
ERR4968598_bin_19	cmag_592
ERR4968598_bin_20	cmag_593
ERR4968598_bin_22	cmag_594
ERR4968598_bin_23	cmag_595
ERR4968598_bin_3	cmag_596
ERR4968598_bin_36	cmag_597
ERR4968598_bin_42	cmag_598
ERR4968598_bin_45	cmag_599
ERR4968598_bin_54	cmag_600
ERR4968599_bin_14	cmag_601
ERR4968599_bin_3	cmag_602
ERR4968599_bin_40	cmag_603
ERR4968600_bin_1	cmag_604
ERR4968600_bin_15	cmag_605
ERR4968600_bin_3	cmag_606
ERR4968600_bin_32	cmag_607
ERR4968601_bin_23	cmag_608
ERR4968601_bin_28	cmag_609
ERR4968601_bin_51	cmag_610
ERR4968602_bin_17	cmag_611
ERR4968602_bin_25	cmag_612
ERR4968602_bin_26	cmag_613
ERR4968602_bin_3	cmag_614
ERR4968602_bin_5	cmag_615
ERR4968602_bin_57	cmag_616
ERR4968602_bin_63	cmag_617
ERR4968602_bin_67	cmag_618
ERR4968602_bin_74	cmag_619
ERR4968602_bin_80	cmag_620
ERR4968603_bin_15	cmag_621
ERR4968603_bin_24	cmag_622
ERR4968603_bin_31	cmag_623
ERR4968603_bin_35	cmag_624
ERR4968603_bin_37	cmag_625
ERR4968603_bin_41	cmag_626
ERR4968603_bin_56	cmag_627
ERR4968604_bin_20	cmag_628
ERR4968605_bin_39	cmag_629
ERR4968606_bin_18	cmag_630
ERR4968606_bin_83	cmag_631
ERR4968608_bin_33	cmag_632
ERR4968608_bin_54	cmag_633
ERR4968671_bin_1	cmag_634
ERR4968671_bin_11	cmag_635
ERR4968671_bin_17	cmag_636
ERR4968671_bin_4	cmag_637
ERR4968671_bin_51	cmag_638
ERR4968671_bin_54	cmag_639
ERR4968673_bin_37	cmag_640
ERR4968673_bin_41	cmag_641
ERR4968678_bin_24	cmag_642
ERR4968678_bin_28	cmag_643
ERR4968678_bin_37	cmag_644
ERR4968678_bin_39	cmag_645
ERR4968678_bin_5	cmag_646
ERR4968678_bin_54	cmag_647
ERR4968678_bin_68	cmag_648
ERR4968681_bin_18	cmag_649
ERR4968681_bin_22	cmag_650
ERR4968681_bin_4	cmag_651
ERR4968681_bin_50	cmag_652
ERR4968687_bin_20	cmag_653
ERR4968687_bin_22	cmag_654
ERR4968687_bin_30	cmag_655
ERR4968687_bin_40	cmag_656
ERR4968687_bin_45	cmag_657
ERR4968687_bin_63	cmag_658
ERR4968687_bin_69	cmag_659
ERR4968704_bin_2	cmag_660
ERR4968704_bin_38	cmag_661
ERR4968704_bin_39	cmag_662
ERR4968704_bin_51	cmag_663
ERR4968704_bin_83	cmag_664
ERR4968705_bin_113	cmag_665
ERR4968705_bin_24	cmag_666
ERR4968705_bin_27	cmag_667
ERR4968705_bin_43	cmag_668
ERR4968705_bin_53	cmag_669
ERR4968705_bin_54	cmag_670
ERR4968705_bin_90	cmag_671
ERR4968711_bin_16	cmag_672
ERR4968711_bin_17	cmag_673
ERR4968711_bin_19	cmag_674
ERR4968711_bin_32	cmag_675
ERR4968711_bin_38	cmag_676
ERR4968711_bin_58	cmag_677
ERR4968711_bin_9	cmag_678
ERR4968712_bin_107	cmag_679
ERR4968712_bin_113	cmag_680
ERR4968712_bin_124	cmag_681
ERR4968712_bin_129	cmag_682
ERR4968712_bin_26	cmag_683
ERR4968712_bin_40	cmag_684
ERR4968712_bin_49	cmag_685
ERR4968712_bin_50	cmag_686
ERR4968712_bin_51	cmag_687
ERR4968712_bin_54	cmag_688
ERR4968712_bin_56	cmag_689
ERR4968712_bin_57	cmag_690
ERR4968712_bin_64	cmag_691
ERR4968712_bin_70	cmag_692
ERR4968712_bin_78	cmag_693
ERR4968712_bin_84	cmag_694
ERR4968712_bin_88	cmag_695
ERR4968712_bin_9	cmag_696
ERR4968712_bin_98	cmag_697
ERR4969053_bin_1	cmag_698
ERR4969053_bin_15	cmag_699
ERR4969053_bin_24	cmag_700
ERR4969053_bin_25	cmag_701
ERR4969053_bin_26	cmag_702
ERR4969053_bin_29	cmag_703
ERR4969053_bin_40	cmag_704
ERR4969053_bin_41	cmag_705
ERR4969053_bin_48	cmag_706
ERR4969053_bin_54	cmag_707
ERR4969053_bin_55	cmag_708
ERR4969053_bin_72	cmag_709
ERR4969053_bin_79	cmag_710
ERR4969053_bin_8	cmag_711
ERR4969053_bin_82	cmag_712
ERR4969053_bin_83	cmag_713
ERR4969053_bin_9	cmag_714
ERR4969151_bin_1	cmag_715
ERR4969151_bin_101	cmag_716
ERR4969151_bin_113	cmag_717
ERR4969151_bin_115	cmag_718
ERR4969151_bin_118	cmag_719
ERR4969151_bin_130	cmag_720
ERR4969151_bin_134	cmag_721
ERR4969151_bin_135	cmag_722
ERR4969151_bin_142	cmag_723
ERR4969151_bin_144	cmag_724
ERR4969151_bin_145	cmag_725
ERR4969151_bin_20	cmag_726
ERR4969151_bin_33	cmag_727
ERR4969151_bin_47	cmag_728
ERR4969151_bin_53	cmag_729
ERR4969151_bin_62	cmag_730
ERR4969151_bin_64	cmag_731
ERR4969151_bin_66	cmag_732
ERR4969151_bin_67	cmag_733
ERR4969151_bin_81	cmag_734
ERR4969151_bin_82	cmag_735
ERR4969151_bin_85	cmag_736
ERR4969151_bin_9	cmag_737
ERR4992195_bin_27	cmag_738
ERR4992195_bin_8	cmag_739
ERR4992208_bin_26	cmag_740
ERR4992208_bin_29	cmag_741
ERR4992208_bin_47	cmag_742
ERR4992208_bin_52	cmag_743
ERR4992208_bin_53	cmag_744
ERR4993373_bin_10	cmag_745
ERR4993373_bin_5	cmag_746
ERR4993373_bin_50	cmag_747
ERR4993373_bin_59	cmag_748
ERR4993378_bin_4	cmag_749
ERR4993378_bin_43	cmag_750
ERR4993378_bin_50	cmag_751
ERR4993378_bin_6	cmag_752
ERR4993381_bin_14	cmag_753
ERR4993381_bin_24	cmag_754
ERR4993381_bin_28	cmag_755
ERR4993381_bin_30	cmag_756
ERR4993381_bin_53	cmag_757
ERR4993381_bin_57	cmag_758
ERR4993381_bin_66	cmag_759
ERR4993381_bin_77	cmag_760
ERR4993382_bin_29	cmag_761
ERR4993382_bin_35	cmag_762
ERR4993382_bin_39	cmag_763
ERR4993662_bin_105	cmag_764
ERR4993662_bin_106	cmag_765
ERR4993662_bin_24	cmag_766
ERR4993662_bin_31	cmag_767
ERR4993662_bin_43	cmag_768
ERR4993662_bin_45	cmag_769
ERR4993662_bin_60	cmag_770
ERR4993662_bin_61	cmag_771
ERR4993662_bin_64	cmag_772
ERR4993662_bin_75	cmag_773
ERR4993662_bin_82	cmag_774
ERR7167026_bin_11	cmag_775
ERR7167028_bin_4	cmag_776
ERR7167029_bin_12	cmag_777
ERR7167029_bin_23	cmag_778
ERR7167032_bin_11	cmag_779
ERR7167033_bin_10	cmag_780
ERR7167033_bin_15	cmag_781
ERR7167033_bin_2	cmag_782
ERR7167033_bin_36	cmag_783
ERR7167034_bin_20	cmag_784
ERR7167036_bin_15	cmag_785
ERR7167036_bin_21	cmag_786
ERR7167036_bin_3	cmag_787
ERR7167037_bin_6	cmag_788
ERR7167037_bin_7	cmag_789
ERR7167041_bin_23	cmag_790
ERR7167041_bin_33	cmag_791
ERR7167042_bin_4	cmag_792
ERR7167043_bin_17	cmag_793
ERR7167044_bin_8	cmag_794
ERR7167046_bin_20	cmag_795
ERR7167046_bin_3	cmag_796
ERR7167046_bin_6	cmag_797
ERR7167047_bin_17	cmag_798
ERR7167047_bin_8	cmag_799
ERR7167048_bin_28	cmag_800
ERR7167048_bin_34	cmag_801
ERR7167048_bin_40	cmag_802
ERR7167050_bin_2	cmag_803
ERR7167052_bin_10	cmag_804
ERR7167052_bin_12	cmag_805
ERR7167053_bin_31	cmag_806
ERR7167053_bin_9	cmag_807
ERR7167059_bin_11	cmag_808
ERR7167059_bin_12	cmag_809
ERR7167062_bin_12	cmag_810
ERR7167062_bin_36	cmag_811
ERR7167062_bin_47	cmag_812
ERR7167062_bin_49	cmag_813
ERR7167063_bin_17	cmag_814
ERR7167063_bin_29	cmag_815
ERR7167063_bin_30	cmag_816
ERR7167063_bin_32	cmag_817
ERR7167064_bin_1	cmag_818
ERR7167064_bin_22	cmag_819
ERR7167064_bin_37	cmag_820
ERR7167064_bin_48	cmag_821
ERR7167219_bin_12	cmag_822
ERR7167219_bin_2	cmag_823
ERR7167219_bin_28	cmag_824
ERR7167219_bin_7	cmag_825
