animal_code	dmm
CA01.01	1
CA01.03	1
CA01.06	1
CA02.01	1
CA02.04	1
CA03.01	1
CA03.03	1
CA03.04	1
CA04.01	1
CA04.03	1
CA04.04	1
CA05.03	1
CA05.05	1
CA05.06	1
CA06.01	1
CA06.02	1
CA06.05	1
CA07.02	1
CA07.04	1
CA08.01	1
CA08.03	1
CA08.06	1
CA09.01	1
CA09.05	1
CA09.06	1
CA10.03	1
CA10.06	1
CA11.01	1
CA11.02	1
CA11.06	1
CA12.01	1
CA12.03	1
CA12.05	1
CA13.01	1
CA13.03	1
CA13.04	1
CA13.06	1
CA14.02	1
CA14.03	1
CA14.05	1
CA14.06	1
CA15.01	1
CA15.03	1
CA15.06	1
CA16.02	1
CA16.04	1
CA16.05	1
CA17.02	1
CA17.03	1
CA17.06	1
CA18.01	1
CA18.04	1
CA18.06	1
CA19.01	1
CA19.02	1
CA19.06	1
CA20.01	1
CA20.05	1
CA21.01	1
CA21.02	1
CA21.03	1
CA21.05	1
CA22.01	1
CA22.05	1
CA23.01	1
CA23.04	1
CA24.01	1
CA24.02	1
CA24.05	1
CB01.05	1
CB02.03	1
CB03.03	1
CB03.05	1
CB04.03	1
CB04.06	1
CB05.01	1
CB05.02	1
CB05.03	1
CB05.06	1
CB06.02	1
CB06.06	1
CB07.01	1
CB07.04	1
CB07.06	1
CB08.02	1
CB08.03	1
CB08.04	1
CB09.02	1
CB10.01	1
CB10.04	1
CB10.05	1
CB11.03	1
CB11.04	1
CB12.03	1
CB12.06	1
CB13.01	1
CB13.04	1
CB13.05	1
CB14.02	1
CB14.03	1
CB15.01	1
CB15.02	1
CB15.04	1
CB16.02	1
CB16.03	1
CB16.06	1
CB17.02	1
CB17.03	1
CB17.05	1
CB18.03	1
CB18.04	1
CB19.03	1
CB19.04	1
CB20.02	1
CB20.03	1
CB20.06	1
CB21.03	1
CB22.03	1
CB23.02	1
CB23.05	1
CB24.03	1
CB24.05	1
CC01.01	1
CC01.05	2
CC01.06	2
CC02.04	2
CC02.05	2
CC02.06	2
CC03.02	1
CC03.04	1
CC03.06	1
CC04.03	2
CC04.06	2
CC05.01	2
CC05.02	2
CC05.03	2
CC05.06	1
CC06.02	1
CC06.05	1
CC07.02	2
CC07.04	1
CC07.05	1
CC07.06	1
CC08.01	2
CC08.02	2
CC08.05	2
CC08.06	2
CC09.01	2
CC09.04	2
CC09.06	2
CC10.03	1
CC10.05	1
CC10.06	1
CC11.02	2
CC11.04	2
CC11.06	2
CC12.01	2
CC12.02	1
CC12.04	2
CC12.06	2
CC13.01	1
CC13.04	2
CC13.05	2
CC14.01	1
CC14.02	1
CC14.03	1
CC15.02	2
CC15.05	2
CC16.01	1
CC16.03	1
CC16.05	1
CC16.06	1
CC17.01	1
CC17.03	1
CC17.05	1
CC17.06	1
CC18.03	1
CC18.05	1
CC18.06	1
CC19.02	2
CC19.03	2
CC19.05	2
CC20.02	1
CC20.05	1
CC20.06	1
CC21.03	1
CC21.05	1
CC21.06	1
CC22.01	2
CC22.04	2
CC22.06	2
CC23.01	2
CC23.02	2
CC23.04	2
CC24.03	1
CC24.05	1
CA01.07	1
CA01.09	1
CA01.10	1
CA01.11	1
CA02.08	1
CA02.11	1
CA02.12	1
CA03.07	1
CA03.10	1
CA04.09	1
CA04.10	1
CA04.12	1
CA05.08	1
CA05.12	1
CA06.07	1
CA06.09	1
CA06.11	1
CA07.07	1
CA07.09	1
CA07.11	1
CA08.08	1
CA08.09	1
CA08.12	1
CA09.07	1
CA09.08	1
CA09.12	1
CA10.10	1
CA10.11	1
CA10.12	1
CA11.07	1
CA11.08	1
CA11.12	1
CA12.09	1
CA12.11	1
CA13.07	1
CA13.08	1
CA14.07	1
CA14.09	1
CA14.11	1
CA15.10	1
CA15.12	1
CA16.07	1
CA16.09	1
CA16.12	1
CA17.07	1
CA17.12	1
CA18.08	1
CA18.09	1
CA18.11	1
CA19.10	1
CA19.11	1
CA20.08	1
CA20.09	1
CA20.10	1
CA20.12	1
CA21.09	1
CA21.10	1
CA21.11	1
CA21.12	1
CA22.09	1
CA22.11	1
CA22.12	1
CA23.08	1
CA23.10	1
CA23.11	1
CA24.09	1
CA24.10	1
CA24.12	1
CB01.09	1
CB01.11	1
CB02.09	1
CB02.12	1
CB03.08	1
CB03.11	1
CB03.12	1
CB04.07	1
CB04.08	1
CB04.09	1
CB05.09	1
CB06.07	1
CB07.07	1
CB07.09	1
CB07.10	1
CB07.12	1
CB08.07	1
CB08.08	1
CB08.12	1
CB09.10	1
CB09.12	1
CB10.09	1
CB10.12	1
CB11.07	1
CB11.08	1
CB11.11	1
CB12.09	1
CB12.12	1
CB13.11	1
CB13.12	1
CB14.07	1
CB14.10	1
CB14.12	1
CB15.07	1
CB15.12	1
CB16.07	1
CB16.11	1
CB16.12	1
CB17.07	1
CB17.08	1
CB18.08	1
CB18.09	1
CB18.10	1
CB19.07	1
CB19.09	1
CB19.11	1
CB19.12	1
CB20.07	1
CB20.09	1
CB20.10	1
CB21.07	1
CB21.08	1
CB21.11	1
CB22.07	1
CB22.08	1
CB22.10	1
CB23.10	1
CB23.12	1
CB24.11	1
CC01.07	2
CC01.09	2
CC01.10	2
CC01.11	2
CC01.12	2
CC02.07	2
CC02.09	2
CC02.10	2
CC02.12	2
CC03.07	2
CC03.09	2
CC03.11	2
CC04.08	2
CC04.09	2
CC04.10	2
CC04.12	2
CC05.07	2
CC05.10	2
CC05.12	2
CC06.08	2
CC06.09	2
CC07.09	2
CC07.10	2
CC07.11	2
CC08.10	2
CC08.11	2
CC08.12	2
CC09.09	2
CC09.10	2
CC09.12	2
CC10.08	2
CC10.10	2
CC10.11	2
CC11.07	2
CC11.10	2
CC11.11	2
CC11.12	2
CC12.08	2
CC12.09	2
CC12.10	2
CC12.11	2
CC13.07	2
CC13.09	2
CC13.10	2
CC13.11	2
CC14.08	2
CC14.09	2
CC14.10	2
CC14.12	2
CC15.07	2
CC15.08	2
CC15.11	2
CC16.07	2
CC16.08	2
CC16.10	2
CC16.11	2
CC17.07	2
CC17.10	2
CC17.11	2
CC17.12	2
CC18.07	2
CC18.10	2
CC18.11	2
CC18.12	2
CC19.08	2
CC19.09	2
CC20.07	2
CC20.10	2
CC20.12	2
CC21.07	2
CC21.08	2
CC21.10	2
CC22.08	2
CC22.10	2
CC22.11	2
CC23.07	2
CC23.09	2
CC23.12	2
CC24.07	2
CC24.08	2
CC24.12	2
CA01.15	1
CA01.16	1
CA01.18	1
CA02.14	1
CA02.15	1
CA02.17	1
CA02.18	1
CA03.14	1
CA03.16	1
CA03.17	1
CA04.13	1
CA04.14	1
CA05.17	1
CA05.18	1
CA06.13	1
CA06.15	1
CA06.17	1
CA06.18	1
CA07.13	1
CA07.14	1
CA08.13	1
CA08.16	1
CA08.18	1
CA09.13	1
CA09.18	1
CA10.14	1
CA10.15	1
CA10.16	1
CA11.14	1
CA11.16	1
CA11.17	1
CA11.18	1
CA12.13	1
CA12.15	1
CA13.13	1
CA13.16	1
CA14.13	1
CA14.15	1
CA14.17	1
CA15.13	1
CA15.17	1
CA16.13	1
CA16.18	1
CA17.14	1
CA17.15	1
CA18.13	1
CA18.15	1
CA18.16	1
CA19.13	1
CA19.14	1
CA19.15	1
CA19.17	1
CA19.18	1
CA20.13	1
CA20.14	1
CA20.16	1
CA21.14	1
CA21.15	1
CA21.17	1
CA22.15	1
CA22.16	1
CA22.18	1
CA23.14	1
CA23.15	1
CA23.16	1
CA24.13	1
CA24.16	1
CA24.17	1
CB01.15	1
CB01.17	3
CB01.18	1
CB02.14	3
CB02.15	3
CB02.18	3
CB03.13	3
CB03.14	1
CB03.16	3
CB03.17	3
CB04.15	3
CB04.17	3
CB04.18	3
CB05.14	3
CB05.15	1
CB05.17	3
CB06.13	3
CB06.16	3
CB06.17	3
CB07.14	3
CB07.16	3
CB07.18	3
CB08.14	3
CB08.16	3
CB08.17	3
CB09.13	3
CB09.14	3
CB09.18	3
CB10.15	3
CB10.16	3
CB10.17	3
CB10.18	3
CB11.14	3
CB11.15	3
CB11.18	3
CB12.14	3
CB12.15	3
CB12.18	3
CB13.14	3
CB13.17	3
CB13.18	3
CB14.13	1
CB14.17	3
CB15.14	3
CB15.17	3
CB16.16	3
CB16.17	3
CB17.14	3
CB17.18	3
CB18.14	3
CB18.15	3
CB18.17	3
CB19.14	3
CB19.15	3
CB20.13	3
CB20.15	3
CB20.17	3
CB20.18	3
CB21.13	3
CB21.16	3
CB21.18	3
CB22.15	3
CB22.16	3
CB22.18	3
CB23.14	3
CB23.17	3
CB23.18	3
CB24.14	3
CB24.15	1
CB24.17	3
CC01.13	2
CC01.16	2
CC01.17	2
CC01.18	2
CC02.15	2
CC02.16	2
CC02.17	2
CC03.13	2
CC03.14	2
CC03.15	2
CC04.13	2
CC04.17	2
CC05.14	2
CC05.15	2
CC05.16	2
CC06.13	2
CC06.17	2
CC07.13	2
CC07.14	2
CC07.16	2
CC08.17	2
CC08.18	2
CC09.13	2
CC09.14	2
CC09.16	2
CC09.18	2
CC10.14	2
CC10.16	2
CC10.17	2
CC10.18	2
CC11.14	2
CC11.15	2
CC11.18	2
CC12.13	2
CC12.14	2
CC12.16	2
CC12.17	2
CC13.13	2
CC13.14	2
CC13.17	2
CC14.14	2
CC14.15	2
CC14.16	2
CC14.17	2
CC15.16	2
CC16.13	2
CC16.14	2
CC16.16	2
CC17.13	2
CC17.15	2
CC17.16	2
CC18.17	2
CC19.13	2
CC19.14	2
CC19.16	2
CC19.17	2
CC19.18	2
CC20.13	2
CC20.14	2
CC20.15	2
CC21.15	2
CC21.16	2
CC21.18	2
CC22.15	2
CC22.17	2
CC22.18	2
CC23.15	2
CC23.17	2
CC24.14	2
CC24.17	2
CC24.18	2
